fw_ID,model,S,connectance,mx_tl,intervality,isolated,illogical
adbm_96_20,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_96_40,ADBM,17,0.05190311418685121,3.0,0,0,0
adbm_97_10,ADBM,5,0.16,5.0,0,0,0
adbm_97_20,ADBM,9,0.1728395061728395,4.0,0,0,0
adbm_97_40,ADBM,4,0.125,2.0,0,0,0
adbm_98_10,ADBM,3,0.3333333333333333,2.5,0,0,0
adbm_98_20,ADBM,6,0.1111111111111111,3.0,0,0,0
adbm_98_40,ADBM,10,0.07,3.0,0,0,0
adbm_99_10,ADBM,4,0.1875,4.0,0,0,0
adbm_99_20,ADBM,9,0.13580246913580246,3.0,0,0,0
adbm_99_40,ADBM,17,0.06228373702422145,3.777777777777778,0,0,0
adbm_9_10,ADBM,4,0.1875,4.0,0,0,0
adbm_9_20,ADBM,,,,,,
adbm_9_40,ADBM,13,0.10059171597633136,3.125,0,0,0
atn_100_10,ATN,5,0.2,4.5,0,0,0
atn_100_20,ATN,,,,,,
atn_100_40,ATN,21,0.2018140589569161,3.4690938103636513,0,0,0
atn_10_10,ATN,7,0.16326530612244897,4.833333333333334,0,0,0
atn_10_20,ATN,12,0.1111111111111111,2.4,0,0,0
atn_10_40,ATN,23,0.21928166351606806,3.481928697404889,0,0,0
atn_11_10,ATN,3,0.2222222222222222,3.0,0,0,0
atn_11_20,ATN,3,0.2222222222222222,2.0,0,0,0
atn_11_40,ATN,34,0.1513840830449827,4.763094452322825,0,0,0
atn_12_10,ATN,6,0.19444444444444445,3.25,0,0,0
atn_12_20,ATN,,,,,,
atn_12_40,ATN,17,0.2179930795847751,4.516805555555555,0,0,0
atn_13_10,ATN,2,0.25,2.0,0,0,0
atn_13_20,ATN,10,0.14,3.0,0,0,0
atn_13_40,ATN,23,0.21550094517958412,4.229570256132756,0,0,0
atn_14_10,ATN,2,0.25,2.0,0,0,0
atn_14_20,ATN,,,,,,
atn_14_40,ATN,4,0.3125,2.6666666666666665,0,0,0
atn_15_10,ATN,4,0.25,3.0,0,0,0
atn_15_20,ATN,11,0.1652892561983471,4.916666666666667,0,0,0
atn_15_40,ATN,32,0.134765625,5.472767951625094,0,0,0
atn_16_10,ATN,4,0.3125,2.333333333333333,0,0,0
atn_16_20,ATN,9,0.1728395061728395,5.000000000000001,0,0,0
atn_16_40,ATN,10,0.29,3.542328042328042,0,0,0
atn_17_10,ATN,6,0.1388888888888889,4.0,0,0,0
atn_17_20,ATN,12,0.2013888888888889,3.5296296296296297,0,0,0
